reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Example 6_Step 1,Example 6,Step 1,other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O.CCN(CC)CC.[Cl][Pd][Cl].c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.C1COCCO1.[N].CO>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,10/10,"式(IV)化合物; CO; water; triethylamine; PdCl₂; 1,4-bis(diphenylphosphino)butane; 1,4-dioxane; nitrogen; methanol",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O; CCN(CC)CC; [Cl][Pd][Cl]; c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; C1COCCO1; [N]; CO,式(V)化合物,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 7_Step 1,Example 7,Step 1,other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.O.CCN(CC)CC.[Cl][Pd][Cl].c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.C1CCOC1.[C]=O.[N].CO>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,10/10,"式(IV)化合物; water; triethylamine; PdCl2; 1,3-bis(diphenylphosphino)propane; tetrahydrofuran; CO; nitrogen; methanol",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; O; CCN(CC)CC; [Cl][Pd][Cl]; c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; C1CCOC1; [C]=O; [N]; CO,式(V)化合物,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 8_Step 1,Example 8,Step 1,halogenation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.C1COCCO1.O=S(Cl)Cl>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,4/4,"式(V)化合物; 1,4-dioxane; thionyl chloride",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; C1COCCO1; O=S(Cl)Cl,式(VII)化合物,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 8_Step 2,Example 8,Step 2,ester_formation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1.C1COCCO1.CCN(CC)CC>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,5/5,"式(VII)化合物; 1,3-cyclohexanedione; 1,4-dioxane; triethylamine",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1; C1COCCO1; CCN(CC)CC,式(VIII)化合物,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 8_Step 3,Example 8,Step 3,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(C)(O)C#N.O.Cl>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,5/5,式(VIII)化合物; acetone cyanohydrin; water; hydrochloric acid,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(C)(O)C#N; O; Cl,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 9_Method 1,Example 9,Method 1,other_cross_coupling,,,8/9,"式(IV)化合物; 1,3-cyclohexanedione; CO; triethylamine; bis[(4-N,N-dimethylamino)phenyl]di-tert-butylphosphine palladium dichloride; nitrogen; 1,4-dioxane; ethanol",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1; [C]=O; CCN(CC)CC; ; [N]; C1COCCO1; CCO,(VIII)酯化合物,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 9_Method 2,Example 9,Method 2,other_cross_coupling,,,9/10,"式(IV)化合物; 1,3-cyclohexanedione; CO; triethylamine; bis[(4-N,N-dimethylamino)phenyl]di-tert-butylphosphine palladium dichloride; nitrogen; ethylene glycol diethyl ether; 1,4-dioxane; ethanol",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1; [C]=O; CCN(CC)CC; ; [N]; CCOCCOCC; C1COCCO1; CCO,(VIII)酯化合物,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Preparation Routes and General Embodiments_Step 1,Preparation Routes and General Embodiments,Step 1,halogenation,,CSc1cccc(Cl)c1C.[Br].ClCCl.ClCCCl.[Na+].[OH-].O>>CSc1ccc(Br)c(Cl)c1C,7/7,"式(VI)化合物; bromine; dichloromethane; 1,2-dichloroethane; sodium hydroxide; water",CSc1cccc(Cl)c1C; [Br]; ClCCl; ClCCCl; [Na+].[OH-]; O,式(I)化合物,CSc1ccc(Br)c(Cl)c1C,name_parsed; patent_drawing
Preparation Routes and General Embodiments_Step 2,Preparation Routes and General Embodiments,Step 2,nucleophilic_substitution,,,3/5,Cc1c(N)cccc1Cl; NaNO2; HCl; CH3SNa,Cc1c(N)cccc1Cl; ; Cl; ,式(VI)化合物,CSc1cccc(Cl)c1C,name_parsed; none; patent_drawing; patent_scheme
Preparation Routes and General Embodiments_Step 3,Preparation Routes and General Embodiments,Step 3,oxidation,,,6/11,式(I)化合物; hydrogen peroxide; 钨酸盐; 偏钨酸盐; 钒酸盐; 偏钒酸盐; sodium tungstate dihydrate; glacial acetic acid; formic acid; water,CSc1ccc(Br)c(Cl)c1C; OO; ; ; ; ; ; CC(=O)O; O=CO; O,式(II)化合物,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,name_parsed; none; patent_drawing
Preparation Routes and General Embodiments_Step 4,Preparation Routes and General Embodiments,Step 4,halogenation,,,12/14,式(II)化合物; 溴代试剂; bromine; N-bromosuccinimide; hydrogen bromide; hydrogen peroxide; benzoyl peroxide; azobisisobutyronitrile; dichloromethane; dichloroethane; carbon tetrachloride; sodium hydroxide; water,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; ; [Br]; O=C1CCC(=O)N1Br; Br; OO; O=C(OOC(=O)c1ccccc1)c1ccccc1; CC(C)(C#N)N=NC(C)(C)C#N; ClCCl; ; ClC(Cl)(Cl)Cl; [Na+].[OH-]; O,式(III)化合物,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,name_parsed; none; patent_drawing
Preparation Routes and General Embodiments_Step 5,Preparation Routes and General Embodiments,Step 5,nucleophilic_substitution,Williamson ether synthesis,,11/12,"式(III)化合物; sodium 2,2,2-trifluoroethoxide; potassium 2,2,2-trifluoroethoxide; CF3CH2OM; tetrahydrofuran; 1,4-dioxane; diethyl ether; water; saturated brine; methanol; ethanol",CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr; [Na+].[O-]CC(F)(F)F; [K+].[O-]CC(F)(F)F; ; C1CCOC1; C1COCCO1; CCOCC; O; [Cl-].[Na+]; CO; CCO,式(IV)化合物,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Preparation Routes and General Embodiments_Step 6,Preparation Routes and General Embodiments,Step 6,salt_formation,,,9/10,"2,2,2-trifluoroethanol; sodium hydride; potassium hydride; sodium methoxide; potassium methoxide; sodium hydroxide; potassium hydroxide",OCC(F)(F)F; [H-].[Na+]; [H-].[K+]; C[O-].[Na+]; C[O-].[K+]; [Na+].[OH-]; [K+].[OH-],"CF3CH2OM; sodium 2,2,2-trifluoroethoxide; potassium 2,2,2-trifluoroethoxide",; [Na+].[O-]CC(F)(F)F; [K+].[O-]CC(F)(F)F,name_parsed; none
Preparation Routes and General Embodiments_Step 7,Preparation Routes and General Embodiments,Step 7,other_cross_coupling,,,33/37,"式(IV)化合物; water; CO; nitrogen; palladium; rhodium; ruthenium; copper; cobalt; palladium(II) chloride; palladium carbonate; palladium(II) acetate; palladium on carbon; palladium(II) trifluoroacetate; bis(dibenzylideneacetone)palladium; 1,3-bis(diphenylphosphino)propane; 1,4-bis(diphenylphosphino)butane; bis[4-(N,N-dimethylamino)phenyl]di-tert-butylphosphine; triethylamine; potassium carbonate; sodium carbonate; cesium carbonate; potassium phosphate; N,N-dimethylacetamide; N,N-diisopropylethylamine; 1,8-diazabicyclo[5.4.0]undec-7-ene; triethylenediamine; toluene; 1,4-dioxane; ethylene glycol dimethyl ether; ethylene glycol diethyl ether; dimethyl sulfoxide; tetrahydrofuran; N,N-dimethylformamide; methanol; ethanol",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; O; [C]=O; [N]; [Pd]; [Rh]; [Ru]; [Cu]; [Co]; [Cl][Pd][Cl]; O=C([O-])[O-].[Pd+2]; CC(=O)[O-].CC(=O)[O-].[Pd+2]; ; O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[Pd+2]; ; c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; ; CCN(CC)CC; O=C([O-])[O-].[K+].[K+]; O=C([O-])[O-].[Na+].[Na+]; O=C([O-])[O-].[Cs+].[Cs+]; O=P([O-])([O-])[O-].[K+].[K+].[K+]; CC(=O)N(C)C; CCN(C(C)C)C(C)C; C1CCC2=NCCCN2CC1; ; Cc1ccccc1; C1COCCO1; COCCOC; CCOCCOCC; CS(C)=O; C1CCOC1; CN(C)C=O; CO; CCO,式(V)化合物,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Preparation Routes and General Embodiments_Step 8,Preparation Routes and General Embodiments,Step 8,ester_formation,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,4/4,"式(IV)化合物; CO; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O=C1CCCC(=O)C1,式(VIII)的酯化合物,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Preparation Routes and General Embodiments_Step 9,Preparation Routes and General Embodiments,Step 9,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(C)(O)C#N>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,3/3,式(VIII)的酯化合物; acetone cyanohydrin,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(C)(O)C#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Preparation Routes and General Embodiments_Scheme Step 1,Preparation Routes and General Embodiments,Scheme Step 1,nucleophilic_substitution,,,3/5,Cc1c(N)cccc1Cl; NaNO2; CH3SNa; HCl,Cc1c(N)cccc1Cl; ; ; Cl,式(VI)化合物,CSc1cccc(Cl)c1C,name_parsed; none; patent_drawing; patent_scheme
Preparation Routes and General Embodiments_Scheme Step 2,Preparation Routes and General Embodiments,Scheme Step 2,halogenation,,CSc1cccc(Cl)c1C.[Br]>>CSc1ccc(Br)c(Cl)c1C,3/3,式(VI)化合物; bromine,CSc1cccc(Cl)c1C; [Br],式(I)化合物,CSc1ccc(Br)c(Cl)c1C,name_parsed; patent_drawing
Preparation Routes and General Embodiments_Scheme Step 3,Preparation Routes and General Embodiments,Scheme Step 3,oxidation,,CSc1ccc(Br)c(Cl)c1C.OO>>Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,3/3,式(I)化合物; hydrogen peroxide,CSc1ccc(Br)c(Cl)c1C; OO,式(II)化合物,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,name_parsed; patent_drawing
Preparation Routes and General Embodiments_Scheme Step 4,Preparation Routes and General Embodiments,Scheme Step 4,halogenation,,,2/3,式(II)化合物; 溴代试剂,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; ,式(III)化合物,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,none; patent_drawing
Preparation Routes and General Embodiments_Scheme Step 5,Preparation Routes and General Embodiments,Scheme Step 5,nucleophilic_substitution,Williamson ether synthesis,,2/3,式(III)化合物; CF3CH2OM,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr; ,式(IV)化合物,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,none; patent_drawing
Preparation Routes and General Embodiments_Scheme Step 6,Preparation Routes and General Embodiments,Scheme Step 6,other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,4/4,式(IV)化合物; CO; water,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O,式(V)化合物,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Preparation Routes and General Embodiments_Scheme Step 7,Preparation Routes and General Embodiments,Scheme Step 7,halogenation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.O=S(Cl)Cl>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,3/3,式(V)化合物; SOCl2,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing; patent_scheme
Preparation Routes and General Embodiments_Scheme Step 8,Preparation Routes and General Embodiments,Scheme Step 8,ester_formation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,3/3,"CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1,式(VIII)的酯化合物,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,patent_drawing; patent_scheme
Preparation Routes and General Embodiments_Scheme Step 9,Preparation Routes and General Embodiments,Scheme Step 9,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(C)(O)C#N>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,3/3,式(VIII)的酯化合物; acetone cyanohydrin,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(C)(O)C#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Summary of the Invention_Scheme Step (v),Summary of the Invention,Scheme Step (v),other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,4/4,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; H2O,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_scheme
Summary of the Invention_Scheme Step (v'),Summary of the Invention,Scheme Step (v'),other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,4/4,"CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O=C1CCCC(=O)C1,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing; patent_scheme
Summary of the Invention_Scheme Step (i),Summary of the Invention,Scheme Step (i),halogenation,,CSc1cccc(Cl)c1C.[Br]>>CSc1ccc(Br)c(Cl)c1C,3/3,CSc1cccc(Cl)c1C; bromine,CSc1cccc(Cl)c1C; [Br],CSc1ccc(Br)c(Cl)c1C,CSc1ccc(Br)c(Cl)c1C,name_parsed; patent_scheme
Summary of the Invention_Scheme Step (ii),Summary of the Invention,Scheme Step (ii),oxidation,,CSc1ccc(Br)c(Cl)c1C.OO>>Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,3/3,CSc1ccc(Br)c(Cl)c1C; hydrogen peroxide,CSc1ccc(Br)c(Cl)c1C; OO,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,name_parsed; patent_scheme
Summary of the Invention_Scheme Step (iii),Summary of the Invention,Scheme Step (iii),halogenation,,,6/7,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; 溴代试剂; bromine; N-bromosuccinimide; hydrogen bromide; hydrogen peroxide,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; ; [Br]; O=C1CCC(=O)N1Br; Br; OO,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,name_parsed; none; patent_scheme
Summary of the Invention_Scheme Step (iv),Summary of the Invention,Scheme Step (iv),nucleophilic_substitution,Williamson ether synthesis,,4/5,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr; CF3CH2OM; CF3CH2ONa; CF3CH2OK,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr; ; [Na+].[O-]CC(F)(F)F; [K+].[O-]CC(F)(F)F,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_scheme
Summary of the Invention_Scheme Step (vi) Arrow 1,Summary of the Invention,Scheme Step (vi) Arrow 1,other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,4/4,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; H2O,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_scheme
Summary of the Invention_Scheme Step (vi) Arrow 2,Summary of the Invention,Scheme Step (vi) Arrow 2,halogenation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,2/2,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,patent_scheme
Summary of the Invention_Scheme Step (vi) Arrow 3,Summary of the Invention,Scheme Step (vi) Arrow 3,ester_formation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,3/3,"CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,patent_drawing; patent_scheme
Summary of the Invention_Scheme Step (vi) Arrow 4,Summary of the Invention,Scheme Step (vi) Arrow 4,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,patent_drawing; patent_scheme
Summary of the Invention_Scheme Step (vi') Arrow 1,Summary of the Invention,Scheme Step (vi') Arrow 1,other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,4/4,"CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O=C1CCCC(=O)C1,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing; patent_scheme
Summary of the Invention_Scheme Step (vi') Arrow 2,Summary of the Invention,Scheme Step (vi') Arrow 2,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,patent_drawing; patent_scheme
